prompt_id,seed,tier,DR_R1,DR_R2,DR_R3,dDR_R2_minus_R1,dDR_R3_minus_R1,dDR_R3_minus_R2,realized_dino,clip_dist,pixel_gap
P13H,43,high,0.3977848887443542,0.4245105683803558,0.4002454280853271,0.0267256796360015,0.0024605393409729,-0.0242651402950286,0.9722458720207214,0.45501571893692017,0.9309099912643432
P13H,44,high,0.2932494878768921,0.2777515053749084,0.2756332457065582,-0.0154979825019836,-0.0176162421703338,-0.0021182596683502,0.9717490673065186,0.4212028980255127,0.98465895652771
P14H,42,high,0.1206735745072364,0.1590671837329864,0.0982383787631988,0.0383936092257499,-0.0224351957440376,-0.0608288049697876,0.9383891820907592,0.49686723947525024,0.9337234497070312
P14H,43,high,0.4688906967639923,0.4377455115318298,0.2617443203926086,-0.0311451852321624,-0.2071463763713836,-0.1760011911392212,0.931554079055786,0.52934730052948,0.8184349536895752
P14H,44,high,0.3053021132946014,0.1973570883274078,0.0577565357089042,-0.1079450249671936,-0.2475455775856971,-0.1396005526185035,0.9576407670974731,0.5052523016929626,0.9845015406608582
P14L,42,low,0.135253444314003,0.131235659122467,0.1280620694160461,-0.0040177851915359,-0.0071913748979568,-0.0031735897064208,0.6479144096374512,0.287176251411438,0.8173085451126099
P14L,43,low,0.244133785367012,0.215859830379486,0.2077069729566574,-0.0282739549875259,-0.0364268124103546,-0.0081528574228286,0.3720131516456604,0.19744086265563965,0.6672502756118774
P14L,44,low,0.2583184242248535,0.2932799458503723,0.2115511894226074,0.0349615216255188,-0.046767234802246,-0.0817287564277648,0.3318883180618286,0.21868133544921875,0.7539554834365845
P15H,42,high,0.2688423693180084,0.3223012685775757,0.2207326591014862,0.0534588992595672,-0.0481097102165222,-0.1015686094760894,0.9510506987571716,0.604723334312439,0.9735817909240724
P15H,43,high,0.3373736143112182,0.3777253627777099,0.3118088245391845,0.0403517484664917,-0.0255647897720336,-0.0659165382385253,1.0357707738876345,0.6223694086074829,0.9526162147521972
P15H,44,high,0.4263546466827392,0.3633696436882019,0.2802725434303283,-0.0629850029945373,-0.1460821032524109,-0.0830971002578735,1.0448477268218994,0.5443874597549438,0.9043270349502563
P16H,42,high,0.0695377439260482,0.0080989161506295,0.0230193622410297,-0.0614388277754187,-0.0465183816850185,0.0149204460904002,0.9719672799110411,0.47702842950820923,1.1666666269302368
P16H,43,high,0.2407561242580413,0.2418423891067505,0.2523904144763946,0.0010862648487091,0.0116342902183532,0.0105480253696441,0.9896607398986816,0.5373905897140503,1.0785634517669678
P16H,44,high,0.1320962011814117,0.1129393726587295,0.1106892898678779,-0.0191568285226821,-0.0214069113135337,-0.0022500827908515,0.951047420501709,0.5082496404647827,1.2288278341293335
P17H,42,high,0.2310139536857605,0.2524178624153137,0.2211769968271255,0.0214039087295532,-0.0098369568586349,-0.0312408655881881,0.963796854019165,0.5440541505813599,0.8803357481956482
P17H,43,high,0.2129435688257217,0.2324552536010742,0.2239804863929748,0.0195116847753524,0.0110369175672531,-0.0084747672080993,0.9756292104721068,0.531732439994812,0.8557096719741821
P17H,44,high,0.1112291142344474,0.1041258871555328,0.0953051000833511,-0.0071032270789146,-0.0159240141510963,-0.0088207870721817,0.9588172435760498,0.566246747970581,0.8647288084030151
P17L,42,low,0.5627155900001526,0.4974645674228668,0.3567167222499847,-0.0652510225772857,-0.2059988677501678,-0.140747845172882,0.4325727224349975,0.2695838212966919,0.6204431056976318
