group,endpoint,seed,abrupt,cls,gap,transit_frames,jump3,jump1,fracA,fracB,fracElse
both/effect,flying_cam_transition_4,43,False,REAL,77.3106460571289,14,0.3764408826828003,0.1461000144481659,0.04807692307692308,0.16346153846153846,0.7884615384615384
both/neutral,hero_flight_5,42,True,CUT,80.6333236694336,0,0.9573484063148499,0.9491634964942932,0.07692307692307693,0.5384615384615384,0.3846153846153847
both/neutral,hero_flight_5,43,True,CUT,80.6379623413086,5,0.8404712677001953,0.35737448930740356,0.028846153846153848,0.7403846153846154,0.23076923076923073
both/neutral,shadow_smoke_0,42,True,REAL,74.24323272705078,2,1.1830551624298096,0.6542060375213623,0.07692307692307693,0.2980769230769231,0.625
both/neutral,shadow_smoke_0,43,False,REAL,74.35263061523438,7,0.37995094060897827,0.15588432550430298,0.08653846153846154,0.08653846153846154,0.8269230769230769
both/neutral,hero_flight_6,42,False,REAL,79.80211639404297,28,0.32455310225486755,0.12849168479442596,0.009615384615384616,0.009615384615384616,0.9807692307692308
both/neutral,hero_flight_6,43,False,REAL,79.63153839111328,1,1.0869271755218506,0.5973886251449585,0.019230769230769232,0.019230769230769232,0.9615384615384615
both/neutral,shadow_smoke_7,42,True,REAL,93.94097900390625,3,0.598359227180481,0.2471415102481842,0.07692307692307693,0.18269230769230768,0.7403846153846154
both/neutral,shadow_smoke_7,43,True,CUT,94.04983520507812,0,0.8773061037063599,0.8701906800270081,0.1346153846153846,0.5673076923076923,0.29807692307692313
both/neutral,melt_transition_2,42,True,CUT,70.56621551513672,9,0.6105638146400452,0.24044322967529297,0.3942307692307692,0.4423076923076923,0.16346153846153855
both/neutral,melt_transition_2,43,False,REAL,71.04654693603516,21,0.34410855174064636,0.14141447842121124,0.19230769230769232,0.17307692307692307,0.6346153846153846
both/neutral,display_transition_1,42,True,REAL,44.542701721191406,0,0.9421745538711548,0.9333266019821167,0.38461538461538464,0.04807692307692308,0.5673076923076923
both/neutral,display_transition_1,43,True,REAL,44.654197692871094,35,0.24644094705581665,0.0869033932685852,0.3173076923076923,0.14423076923076922,0.5384615384615385
both/neutral,earth_wave_3,42,False,REAL,83.28240203857422,5,0.4583117663860321,0.28577563166618347,0.17307692307692307,0.27884615384615385,0.548076923076923
both/neutral,earth_wave_3,43,False,REAL,83.0689468383789,6,0.45015856623649597,0.1900784969329834,0.09615384615384616,0.15384615384615385,0.75
both/neutral,raven_transition_2,42,True,REAL,108.1083984375,39,0.4423319101333618,0.4402090907096863,0.0,0.4423076923076923,0.5576923076923077
both/neutral,raven_transition_2,43,True,REAL,108.84782409667969,19,0.5888844132423401,0.5924622416496277,0.0,0.19230769230769232,0.8076923076923077
both/neutral,water_bending_3,42,False,REAL,81.93426513671875,33,0.27770915627479553,0.09779044985771179,0.22115384615384615,0.1346153846153846,0.6442307692307693
both/neutral,water_bending_3,43,True,REAL,81.9625244140625,20,1.0904958248138428,0.5683178901672363,0.11538461538461539,0.1346153846153846,0.75
both/neutral,air_bending_1,42,True,CUT,67.5556869506836,2,0.871795654296875,0.6226090788841248,0.4807692307692308,0.4230769230769231,0.09615384615384609
both/neutral,air_bending_1,43,False,CUT,67.52164459228516,6,0.4028351902961731,0.20861244201660156,0.3076923076923077,0.46153846153846156,0.23076923076923073
both/neutral,giant_grab_3,42,False,REAL,40.79352951049805,32,0.6322237849235535,0.33038848638534546,0.0,0.0,1.0
both/neutral,giant_grab_3,43,True,REAL,40.00644302368164,59,0.38490307331085205,0.39891040325164795,0.0,0.0,1.0
both/neutral,firelava_4,42,False,REAL,96.49983215332031,42,0.2425316870212555,0.0951564610004425,0.028846153846153848,0.1346153846153846,0.8365384615384616
both/neutral,firelava_4,43,True,REAL,96.49014282226562,42,0.5135462284088135,0.4361738860607147,0.028846153846153848,0.2692307692307692,0.7019230769230769
both/neutral,flying_cam_transition_4,42,False,REAL,77.3982925415039,41,0.2144409418106079,0.08342337608337402,0.057692307692307696,0.3942307692307692,0.5480769230769231
both/neutral,flying_cam_transition_4,43,False,REAL,77.22370147705078,54,0.130601167678833,0.04371142387390137,0.04807692307692308,0.21153846153846154,0.7403846153846153
both/neutral,earth_wave_5,42,True,REAL,90.67389678955078,38,0.31445634365081787,0.18143397569656372,0.07692307692307693,0.2980769230769231,0.625
both/neutral,earth_wave_5,43,True,REAL,90.61996459960938,35,0.1913568377494812,0.10250258445739746,0.11538461538461539,0.38461538461538464,0.49999999999999994
both/neutral,giant_grab_5,42,False,REAL,41.35176467895508,24,0.21286480128765106,0.16254720091819763,0.038461538461538464,0.1346153846153846,0.826923076923077
both/neutral,giant_grab_5,43,False,REAL,41.27678298950195,45,0.4928673505783081,0.2761375308036804,0.07692307692307693,0.1346153846153846,0.7884615384615385
both/neutral,flame_transition_2,42,True,REAL,65.58097076416016,0,1.3273521661758423,1.3152276277542114,0.2403846153846154,0.14423076923076922,0.6153846153846154
