group,clip_id,gini_dino,step_dino,lerp_dino,gini_pix,step_pix
S-PROBE:R3:high,probe_r3__P08H__s43,0.836249169333309,0.12298212676070636,0.3135714927184583,0.851829193184223,0.17107529652475287
S-PROBE:R1:high,probe__P08H__point_cloud_1__s44,0.6901586625454614,0.24510902940940915,0.21993633881379893,0.6810226392836884,0.22434786946490654
S-PROBE:R2:high,probe_r2__P08H__s44,0.7433552800397065,0.24032250787559087,0.19993317064755217,0.7213548261272662,0.2118111081828996
S-PROBE:R3:high,probe_r3__P08H__s44,0.8897478466396866,0.050617131490305514,0.3355557654771602,0.8893478699053952,0.06653438432641992
S-PROBE:R1:high,probe__P09H__point_cloud_0__s42,0.6781374711734689,0.35032505392491975,0.20741371086737087,0.6133191182245552,0.3177679427819305
S-PROBE:R2:high,probe_r2__P09H__s42,0.7526807672854292,0.2910063319924141,0.3121632540568056,0.8536273209744729,0.05844986714335891
S-PROBE:R3:high,probe_r3__P09H__s42,0.9307820861345706,0.08315056889757086,0.5352081320021354,0.9535499988265459,0.059234060908187475
S-PROBE:R1:high,probe__P09H__point_cloud_0__s43,0.7391291148522272,0.3929766082712281,0.21258341110179674,0.6422980972511068,0.35348736236274236
S-PROBE:R2:high,probe_r2__P09H__s43,0.6398290165427722,0.3313450193078559,0.17946385046518917,0.6074833865194069,0.39739876735806146
S-PROBE:R3:high,probe_r3__P09H__s43,0.8633654353587099,0.06038202438316638,0.31455483008581153,0.8425671169346585,0.10683478877430747
S-PROBE:R1:high,probe__P09H__point_cloud_0__s44,0.5684757521308081,0.3960156704418824,0.1920989562159949,0.5548386683049684,0.26947779015917567
S-PROBE:R2:high,probe_r2__P09H__s44,0.699632996515479,0.30391667904118724,0.27474738279289845,0.7373896563698861,0.18189258152734664
S-PROBE:R3:high,probe_r3__P09H__s44,0.7756992264935423,0.1917451508982785,0.34977863162664075,0.8332435361729846,0.12731990734748913
S-PROBE:R1:high,probe__P10H__monstrosity_0__s42,0.6416609649505476,0.31475678969953585,0.10475404645605445,0.3981948157916433,0.2982830865432818
S-PROBE:R2:high,probe_r2__P10H__s42,0.6274191245092564,0.3231690587766213,0.10599197091622045,0.4807487328078446,0.27461913675050864
S-PROBE:R3:high,probe_r3__P10H__s42,0.7396221597494932,0.11290364341873907,0.24814988232199764,0.4939353433605833,0.2003266340809225
S-PROBE:R1:high,probe__P10H__monstrosity_0__s43,0.6442103088529647,0.24953555022029195,0.1366554117055242,0.5300972124303605,0.22291348896961788
S-PROBE:R2:high,probe_r2__P10H__s43,0.6867176041365601,0.23967819766842485,0.18426803287414728,0.56787781664398,0.17348417110941844
S-PROBE:R3:high,probe_r3__P10H__s43,0.7533569775405264,0.09781851933351701,0.24850215662465072,0.42304412408242964,0.20759209346572155
S-PROBE:R1:high,probe__P10H__monstrosity_0__s44,0.6125035563328007,0.2850157782924318,0.14234693391907915,0.5700747416460923,0.2271398048305954
S-PROBE:R2:high,probe_r2__P10H__s44,0.60758998232719,0.2700510423748415,0.1656276841149907,0.6123775987475821,0.16751307555511669
S-PROBE:R3:high,probe_r3__P10H__s44,0.7853479675686015,0.09174679480686423,0.2771435672351817,0.6823795150319905,0.13814203895204813
S-PROBE:R1:high,probe__P11H__water_element_3__s42,0.6577384738355669,0.2714654169225537,0.12251904597698311,0.7902977787223793,0.09677676454857291
S-PROBE:R2:high,probe_r2__P11H__s42,0.7091192870346255,0.30848354413120654,0.12314088160806912,0.6660727485163986,0.14524333368356027
S-PROBE:R3:high,probe_r3__P11H__s42,0.9326686234851163,0.011893558472370324,0.4205210416327861,0.9361608819808533,0.01561508176211183
S-PROBE:R1:high,probe__P11H__water_element_3__s43,0.6716947199630259,0.2687635951868623,0.11371906401649023,0.6935933138694081,0.13247982070622003
S-PROBE:R2:high,probe_r2__P11H__s43,0.6135831633616515,0.31521976092020215,0.16790617433639501,0.6318763478516798,0.1563487603570641
S-PROBE:R3:high,probe_r3__P11H__s43,0.81253488875466,0.16680134573213856,0.2723610161190534,0.7398503002236463,0.1530709446828235
S-PROBE:R1:high,probe__P11H__water_element_3__s44,0.6319270819084859,0.319945391040019,0.12069550395469664,0.8053958841059243,0.14571449313343077
S-PROBE:R2:high,probe_r2__P11H__s44,0.7248152223180355,0.26558406696856024,0.17479434475977862,0.7454481905124901,0.15455811734927488
S-PROBE:R3:high,probe_r3__P11H__s44,0.858284206343294,0.09603271542090736,0.2795546891756909,0.8886034643772829,0.07756258531965003
S-PROBE:R1:high,probe__P12H__water_element_4__s42,0.637677569020936,0.25599171676187266,0.12992801821322947,0.5507671292789154,0.1987488385175768
S-PROBE:R2:high,probe_r2__P12H__s42,0.7150389628781546,0.2216211365749654,0.14209742725854335,0.6619045979646287,0.16972873100803093
S-PROBE:R3:high,probe_r3__P12H__s42,0.8129671211604601,0.08609838547295504,0.24997786435923347,0.6926529634893632,0.15184169141773934
S-PROBE:R1:high,probe__P12H__water_element_4__s43,0.6839832626500959,0.20518211963353333,0.19505840122887738,0.4806779889210522,0.2440761196680908
S-PROBE:R2:high,probe_r2__P12H__s43,0.711497891113922,0.1728198492249156,0.21329778565872196,0.5017896957566148,0.22809030984520418
S-PROBE:R3:high,probe_r3__P12H__s43,0.8867850511706961,0.10746781516278167,0.3347786732312494,0.8026259408684213,0.1203039991230842
S-PROBE:R1:high,probe__P12H__water_element_4__s44,0.6073265552494742,0.2159794085429336,0.13817978871114933,0.47645898184206303,0.20250315919853737
S-PROBE:R2:high,probe_r2__P12H__s44,0.5614106506740122,0.22176859702733628,0.10867222535653517,0.4190731667117096,0.20954027822916266
S-PROBE:R3:high,probe_r3__P12H__s44,0.8571895063841406,0.0940252191963726,0.2455159682000687,0.8751267991737139,0.05825164535267269
S-PROBE:R1:high,probe__P13H__northern_lights_0__s42,0.7220508334271634,0.21419245037853227,0.18224551549253626,0.6321969486211689,0.25601942134963973
S-PROBE:R2:high,probe_r2__P13H__s42,0.7602811584128388,0.13206802104932247,0.18951541335789598,0.680204061045188,0.2157856211666023
S-PROBE:R3:high,probe_r3__P13H__s42,0.7823049360834411,0.12376112850833244,0.31604486061330234,0.5402440894159566,0.18557630330290872
S-PROBE:R1:high,probe__P13H__northern_lights_0__s43,0.642958952560476,0.19850993492144528,0.1773602008065925,0.5693804277223331,0.22645969608841604
