space,stratum,tier,ref,default,descriptor,null,n_units,ref_med,def_med,null_med,ref_minus_def,def_minus_null,correct_dir,brief_criterion,paired_frac_correct,headroom_ratio,verdict
VAE,S-PROBE,high,R1,R3,path_over_gap,FREEZE,90,7.1259,6.5539,1.0012,0.572,5.5527,True,True,0.722,0.103,RIGHT
VAE,S-PROBE,high,R1,R3,path_over_gap,LATLERP,90,7.1259,6.5539,1.0,0.572,5.5539,True,True,0.722,0.103,RIGHT
VAE,S-PROBE,high,R1,R3,step_share,LERP,90,0.0975,0.1231,0.0813,-0.0256,0.0417,False,False,0.111,0.614,WRONG
VAE,S-PROBE,high,R1,R3,step_share,CUT50,90,0.0975,0.1231,0.2868,-0.0256,-0.1637,True,True,0.878,0.156,RIGHT
VAE,S-PROBE,high,R1,R3,step_share,FREEZE,90,0.0975,0.1231,0.9988,-0.0256,-0.8758,True,True,0.878,0.029,RIGHT
VAE,S-PROBE,high,R1,R3,step_share,LATLERP,90,0.0975,0.1231,0.0714,-0.0256,0.0516,False,False,0.122,0.496,WRONG
VAE,S-PROBE,high,R2,R3,DR,LERP,90,0.6788,0.6174,0.2688,0.0615,0.3486,True,True,0.756,0.176,RIGHT
VAE,S-PROBE,high,R2,R3,DR,CUT50,90,0.6788,0.6174,0.0828,0.0615,0.5345,True,True,0.733,0.115,RIGHT
VAE,S-PROBE,high,R2,R3,DR,FREEZE,90,0.6788,0.6174,0.0,0.0615,0.6174,True,True,0.733,0.1,RIGHT
VAE,S-PROBE,high,R2,R3,DR,LATLERP,90,0.6788,0.6174,0.0001,0.0615,0.6172,True,True,0.733,0.1,RIGHT
VAE,S-PROBE,high,R2,R3,M,LERP,90,0.5385,0.3077,0.6154,0.2308,-0.3077,False,False,0.078,0.75,WRONG
VAE,S-PROBE,high,R2,R3,M,CUT50,90,0.5385,0.3077,0.0769,0.2308,0.2308,True,True,0.567,1.0,RIGHT
VAE,S-PROBE,high,R2,R3,M,FREEZE,90,0.5385,0.3077,0.0,0.2308,0.3077,True,True,0.656,0.75,RIGHT
VAE,S-PROBE,high,R2,R3,M,LATLERP,90,0.5385,0.3077,0.5385,0.2308,-0.2308,False,False,0.1,1.0,WRONG
VAE,S-PROBE,high,R2,R3,cross,LERP,90,0.3846,0.3077,0.4615,0.0769,-0.1538,False,False,0.2,0.5,WRONG
VAE,S-PROBE,high,R2,R3,cross,CUT50,90,0.3846,0.3077,0.5385,0.0769,-0.2308,False,False,0.189,0.333,WRONG
VAE,S-PROBE,high,R2,R3,cross,FREEZE,90,0.3846,0.3077,1.0,0.0769,-0.6923,False,False,0.222,0.111,WRONG
VAE,S-PROBE,high,R2,R3,cross,LATLERP,90,0.3846,0.3077,0.5385,0.0769,-0.2308,False,False,0.189,0.333,WRONG
VAE,S-PROBE,high,R2,R3,nu_max,LERP,90,0.9272,0.8592,0.5706,0.068,0.2886,True,True,0.678,0.236,RIGHT
VAE,S-PROBE,high,R2,R3,nu_max,CUT50,90,0.9272,0.8592,0.7667,0.068,0.0925,True,True,0.533,0.735,RIGHT
VAE,S-PROBE,high,R2,R3,nu_max,FREEZE,90,0.9272,0.8592,0.0007,0.068,0.8585,True,True,0.678,0.079,RIGHT
