group,cls,clip_id,gini,offline,DR
S-GRID:NULLGEN,flame_transition_2,null_v3__flame_transition_2__s43,0.8201514658704443,0.19672590848285867,0.22337957252072863
S-GRID:NULLGEN,flame_transition_3,null_v3__flame_transition_3__s42,0.8532029232456271,0.25803431484459094,0.23053272229580374
S-GRID:NULLGEN,flame_transition_3,null_v3__flame_transition_3__s43,0.7517808453301753,0.2842230822083046,0.33903537571734643
S-GRID:NULLGEN,giant_grab_5,null_v3__giant_grab_5__s42,0.6197918907687066,0.3693945630294949,0.45898511256242525
S-GRID:NULLGEN,giant_grab_5,null_v3__giant_grab_5__s43,0.626071918056462,0.41574887362249413,0.48049713815049055
S-GRID:NULLGEN,shadow_smoke_7,null_v3__shadow_smoke_7__s42,0.8471026112946196,0.26740394067689033,0.26388704100564175
S-GRID:NULLGEN,shadow_smoke_7,null_v3__shadow_smoke_7__s43,0.852172283956627,0.2588407900116118,0.16407458704554564
S-GRID:NULLGEN,giant_grab_3,null_v3__giant_grab_3__s42,0.6854100930644857,0.6885377454205671,0.7099564851745718
S-GRID:NULLGEN,giant_grab_3,null_v3__giant_grab_3__s43,0.7793299460449656,0.4664322682507295,0.4532307646052053
S-GRID:NULLGEN,flying_cam_transition_4,null_v3__flying_cam_transition_4__s42,0.7811850668746567,0.2671191782612253,0.24286708545991054
S-GRID:NULLGEN,flying_cam_transition_4,null_v3__flying_cam_transition_4__s43,0.7347442822337937,0.24889145703094903,0.2225122403551256
S-GRID-F:NULLGEN,davis_bear_elephant,gridF_v2__davis_bear_elephant__s42,0.6657926864472987,0.3943556792132139,0.3933927518924684
S-GRID-F:NULLGEN,davis_bear_elephant,gridF_v2__davis_bear_elephant__s43,0.7317794983972734,0.38339020633413984,0.38774689669798046
S-GRID-F:NULLGEN,davis_tennis_snowboard,gridF_v2__davis_tennis_snowboard__s42,0.5995241408751122,0.4839566799321316,0.4527988168599415
S-GRID-F:NULLGEN,davis_tennis_snowboard,gridF_v2__davis_tennis_snowboard__s43,0.5789188023182987,0.48333977368876613,0.5055077426103713
S-GRID-F:NULLGEN,davis_blackswan_rhino,gridF_v2__davis_blackswan_rhino__s42,0.8395588010621584,0.24345294434129824,0.2338175475347265
S-GRID-F:NULLGEN,davis_blackswan_rhino,gridF_v2__davis_blackswan_rhino__s43,0.8237429574979283,0.22280802051853887,0.22875729829902958
S-GRID-F:NULLGEN,davis_bear_elephant,gridF_v3__davis_bear_elephant__s42,0.6657926864472987,0.3943556792132139,0.3933927518924684
S-GRID-F:NULLGEN,davis_bear_elephant,gridF_v3__davis_bear_elephant__s43,0.7317794983972734,0.38339020633413984,0.38774689669798046
S-GRID-F:NULLGEN,davis_tennis_snowboard,gridF_v3__davis_tennis_snowboard__s42,0.5995241408751122,0.4839566799321316,0.4527988168599415
S-GRID-F:NULLGEN,davis_tennis_snowboard,gridF_v3__davis_tennis_snowboard__s43,0.5789188023182987,0.48333977368876613,0.5055077426103713
S-GRID-F:NULLGEN,hvpair.humanvid_10042758.humanvid_7537430,gridF_v3__hvpair.humanvid_10042758.humanvid_7537430__s42,0.8920595465314038,0.13953391780296912,0.12737858481688866
S-GRID-F:NULLGEN,hvpair.humanvid_10042758.humanvid_7537430,gridF_v3__hvpair.humanvid_10042758.humanvid_7537430__s43,0.8420871159001364,0.1736476107382898,0.11569614919691573
S-GRID-F:NULLGEN,hvpair.humanvid_12405668.humanvid_7539020,gridF_v3__hvpair.humanvid_12405668.humanvid_7539020__s42,0.8178384172880686,0.30345454373502884,0.22403193357537654
S-GRID-F:NULLGEN,hvpair.humanvid_12405668.humanvid_7539020,gridF_v3__hvpair.humanvid_12405668.humanvid_7539020__s43,0.6877509556992256,0.4482061049163754,0.31655048334765823
S-GRID-F:NULLGEN,hvpair.humanvid_2402374.humanvid_7663067,gridF_v3__hvpair.humanvid_2402374.humanvid_7663067__s42,0.9162985759851259,0.1415524271085245,0.15867897538986805
S-GRID-F:NULLGEN,hvpair.humanvid_2402374.humanvid_7663067,gridF_v3__hvpair.humanvid_2402374.humanvid_7663067__s43,0.9174556688404396,0.15358558173427903,0.15420270643167822
S-GRID-F:NULLGEN,hvpair.humanvid_3795426.humanvid_7670221,gridF_v3__hvpair.humanvid_3795426.humanvid_7670221__s42,0.7906367852319087,0.2876417386408769,0.3045771665193976
S-GRID-F:NULLGEN,hvpair.humanvid_3795426.humanvid_7670221,gridF_v3__hvpair.humanvid_3795426.humanvid_7670221__s43,0.8307071423159187,0.3447609171471387,0.26814382213801086
