group,cls,clip_id,gini,offline,DR,d_frames,fit_rmse,lerp_rmse,gap_rel
S-PROBE:R1:high,water_element_4,probe__P12H__water_element_4__s44,0.4825140143654878,0.3843597567411216,0.4102960134453179,64.0,0.0276532897099289,0.1187220667598731,0.8042682182690977
S-PROBE:R1:high,northern_lights_0,probe__P13H__northern_lights_0__s42,0.6407155658508428,0.4517031838368575,0.4872248974797898,80.0,0.0695378851690766,0.1365782055883816,0.9309000675079232
S-PROBE:R1:high,northern_lights_0,probe__P13H__northern_lights_0__s43,0.5661840987294955,0.4076420915565443,0.3977854826799102,48.0,0.0531029713223012,0.1429330620975224,0.9220375344002608
S-PROBE:R1:high,northern_lights_0,probe__P13H__northern_lights_0__s44,0.6345908078053559,0.3123122250560841,0.2932495076938779,48.0,0.0457390431991317,0.2729576901125743,0.9789212627614632
S-PROBE:R1:high,fire_element_2,probe__P14H__fire_element_2__s42,0.6487702710411676,0.2086059758065454,0.1206737610238685,48.0,0.0321601369315051,0.211334043760574,0.9265321513743632
S-PROBE:R1:high,fire_element_2,probe__P14H__fire_element_2__s43,0.5582367033262368,0.4664253742089552,0.4688911572276122,64.0,0.0241770831354674,0.1407677778663012,0.8080501369823659
S-PROBE:R1:high,fire_element_2,probe__P14H__fire_element_2__s44,0.5757728063235061,0.2971823128493272,0.3053023188295458,48.0,0.1358984097877638,0.2589800854558589,0.9760979940739798
S-PROBE:R1:high,fire_element_3,probe__P15H__fire_element_3__s42,0.718861824056187,0.3179779921922291,0.2688426013250211,16.0,0.0384820670586156,0.2239268857799419,0.968346897520186
S-PROBE:R1:high,fire_element_3,probe__P15H__fire_element_3__s43,0.5828075533051698,0.3671856661804649,0.3373736735131141,32.0,0.0394251226777615,0.214684808971689,0.9461898408381636
S-PROBE:R1:high,fire_element_3,probe__P15H__fire_element_3__s44,0.7115165145512825,0.4182111110690671,0.4263543343286057,16.0,0.0438141718780363,0.2931727134712334,0.9001791631617585
S-PROBE:R1:high,color_rain_2,probe__P16H__color_rain_2__s42,0.6678102514612005,0.1774219986044114,0.0695378074959612,32.0,0.0247897915558471,0.2616993348325463,1.1657240570313188
S-PROBE:R1:high,color_rain_2,probe__P16H__color_rain_2__s43,0.7502775771943888,0.2332190816545041,0.2407561770727218,32.0,0.0423590912222105,0.3160938747909409,1.077233840100573
S-PROBE:R1:high,color_rain_2,probe__P16H__color_rain_2__s44,0.6064126024645842,0.1967558428084724,0.1320962704926943,48.0,0.0273759434738576,0.1927816771840433,1.234137569546321
S-PROBE:R1:high,color_rain_0,probe__P17H__color_rain_0__s42,0.739447711281561,0.2541661292143626,0.2310140617250166,32.0,0.0536231599096167,0.2362771778364621,0.8720294268859448
S-PROBE:R1:high,color_rain_0,probe__P17H__color_rain_0__s43,0.7899779872752857,0.2631878746368574,0.2129436598320833,32.0,0.0565539657069844,0.2801220466481314,0.8493959584810133
S-PROBE:R1:high,color_rain_0,probe__P17H__color_rain_0__s44,0.7512227708901402,0.2650249861561837,0.1112291947416197,32.0,0.0571635451940115,0.3240020785485251,0.8616286793533733
S-PROBE:R1:high,earth_element_6,probe__P18H__earth_element_6__s42,0.4193723431606631,0.5888141709799453,0.630669634652993,80.0,0.106775503929823,0.1165828627417492,0.9308843294707542
S-PROBE:R1:high,earth_element_6,probe__P18H__earth_element_6__s43,0.4667284879193409,0.4417094999867276,0.4982791329482989,80.0,0.0659616408011254,0.1161697543554016,1.0467525878010984
S-PROBE:R1:high,earth_element_6,probe__P18H__earth_element_6__s44,0.4476893937500108,0.558645909030755,0.6347077924322794,104.0,0.1086248485123836,0.1086248485123836,1.0228790155929277
S-PROBE:R1:high,earth_element_4,probe__P19H__earth_element_4__s42,0.4572451455822124,0.6517344360966141,0.6490056852511858,104.0,0.1273885117644121,0.1273885117644121,0.6639397416254913
S-PROBE:R1:high,earth_element_4,probe__P19H__earth_element_4__s43,0.5287190436068454,0.6661693452708538,0.7240617167165447,104.0,0.1049554240498245,0.1084420898673046,0.669704580632538
S-PROBE:R1:high,earth_element_4,probe__P19H__earth_element_4__s44,0.478339580391812,0.6345141576360391,0.7135917481813578,48.0,0.1405852637185164,0.2552240687846885,0.6934695351890608
S-PROBE:R1:high,train_rush_1,probe__P20H__train_rush_1__s42,0.6820807707181813,0.3611349928396077,0.1973135006990905,24.0,0.1050478085045263,0.3170666390939851,1.5726198674614182
S-PROBE:R1:high,train_rush_1,probe__P20H__train_rush_1__s43,0.7602416438860238,0.3562462838015546,0.4279612181342095,32.0,0.1104520335596705,0.4014498895339333,1.6009978533888742
S-PROBE:R1:high,train_rush_1,probe__P20H__train_rush_1__s44,0.8200189852236164,0.2476266129154791,0.1694928621491449,5.0,0.0617694253812115,0.4412704503215487,1.6091325053463232
S-PROBE:R1:high,train_rush_0,probe__P21H__train_rush_0__s42,0.8136730859514878,0.136291462287319,0.0746936405346026,16.0,0.0231695080642126,0.3228627625023161,1.1288719333604549
S-PROBE:R1:high,train_rush_0,probe__P21H__train_rush_0__s43,0.7799850502358181,0.1867388457662514,0.0135028205917524,48.0,0.0833803349138007,0.3033441497214691,1.0997522283100396
S-PROBE:R1:high,train_rush_0,probe__P21H__train_rush_0__s44,0.7627678455085267,0.3017311899712745,0.1429557441309138,48.0,0.1004909449714494,0.3116155980880713,1.135330629017565
S-PROBE:R1:high,money_rain_3,probe__P22H__money_rain_3__s42,0.50692251439587,0.4285608099274772,0.4245813592083897,48.0,0.0445690474732621,0.1935645280654327,0.8820886627923018
S-PROBE:R1:high,money_rain_3,probe__P22H__money_rain_3__s43,0.5828053779485702,0.3427598257683818,0.3233970509620594,64.0,0.0521514280476171,0.1795050387328218,0.9406319729316104
S-PROBE:R1:high,money_rain_3,probe__P22H__money_rain_3__s44,0.6126272209097565,0.3269358107662433,0.2801526459110318,48.0,0.0374776590333388,0.1748725156830438,1.0070955882908763
S-PROBE:R1:high,glitch_1,probe__P23H__glitch_1__s42,0.5279166115640734,0.250347003293534,0.2616538690917404,64.0,0.0257933460400544,0.1201849079499307,0.9221487209251108
S-PROBE:R1:high,glitch_1,probe__P23H__glitch_1__s43,0.5240151738758738,0.2821591499335173,0.3158779879720214,48.0,0.0421242805903896,0.1347914842484887,1.0732422881534824
S-PROBE:R1:high,glitch_1,probe__P23H__glitch_1__s44,0.5389248507702402,0.3220624260599437,0.3577648809902173,64.0,0.0686300704550294,0.1288282983368842,1.0884558543913827
S-PROBE:R1:high,acid_0,probe__P24H__acid_0__s42,0.5206277409273175,0.6135787679558781,0.5826932801670882,80.0,0.0515793495839168,0.0834297299968796,0.9130808178141332
S-PROBE:R1:high,acid_0,probe__P24H__acid_0__s43,0.6844561342699509,0.4895919933644305,0.3231743428476373,48.0,0.0910837160230763,0.2235108012302869,0.9511949723788514
S-PROBE:R1:high,acid_0,probe__P24H__acid_0__s44,0.6067054430221799,0.6182264495843596,0.5693423070155109,48.0,0.1085337380131585,0.2548052744446211,0.917851478333291
S-PROBE:R1:high,luminous_gaze_3,probe__P25H__luminous_gaze_3__s42,0.7415363025008042,0.5954130079820302,0.4809510110303388,5.0,0.1106507800322442,0.3362732714009796,0.5464787943740432
S-PROBE:R1:high,luminous_gaze_3,probe__P25H__luminous_gaze_3__s43,0.6762265764447597,0.6408281476339962,0.3610033751829236,16.0,0.0585337976296056,0.2035673989942599,0.5086541245218111
