space,group,key,s0,d_frames,rmse_fit,rmse_lerp,rmse_cut,rho_mean,rho_at_cross,nu_mean
DINO,S-GRID:NULLGEN,null_v3__firelava_4__s42,0.29,24.0,0.074748011062846,0.2111252644397418,0.1371430099979189,0.3497541437285011,0.7391705736761943,0.3657410587452294
DINO,S-GRID:NULLGEN,null_v3__firelava_4__s43,0.325,32.0,0.0851820537044062,0.1682321428919646,0.1354945401547704,0.3714158085771716,0.913814201890878,0.389758728491729
DINO,S-GRID:NULLGEN,null_v3__hero_flight_6__s42,0.015,32.0,0.06485933715503,0.3798867875315088,0.1274633816785707,0.5152042426031073,0.9021008211938304,0.5314107136994446
DINO,S-GRID:NULLGEN,null_v3__hero_flight_6__s43,0.005,16.0,0.1257174717895088,0.3799533288522571,0.1553242853364533,0.8143212456243233,1.1609706208992765,0.8268829477821269
DINO,S-GRID:NULLGEN,null_v3__melt_transition_2__s42,0.375,16.0,0.0348391163034784,0.2445417353933322,0.1116238543929947,0.1582478448925718,0.8739274048219206,0.1675911852434458
DINO,S-GRID:NULLGEN,null_v3__melt_transition_2__s43,0.195,32.0,0.0508260244211268,0.2491313918841795,0.1280938116961977,0.2526387234072413,0.7774957919464294,0.2669139705441483
DINO,S-GRID:NULLGEN,null_v3__raven_transition_2__s42,0.165,32.0,0.1103131729224818,0.2636025080194778,0.1320224727994324,0.3673377156050728,0.369200592975019,0.3822601976338376
DINO,S-GRID:NULLGEN,null_v3__raven_transition_2__s43,0.02,32.0,0.0982311160902095,0.3395523852674511,0.1279587037021393,0.3770298568956312,0.554191912223784,0.3931230475101852
DINO,S-GRID:NULLGEN,null_v3__water_bending_3__s42,0.45,12.0,0.0596434436532179,0.2048721151986723,0.0996979196189896,0.2835562824453209,0.4695258640275807,0.2945118118506518
DINO,S-GRID:NULLGEN,null_v3__water_bending_3__s43,0.25,24.0,0.0430990185945816,0.2320871210383238,0.1403597764045465,0.3144986782196902,0.7816379398235233,0.3321321169286461
DINO,S-GRID:NULLGEN,null_v3__flame_transition_2__s42,0.24,2.0,0.0918832064704596,0.2921958585269723,0.0978071390947318,0.4032609509741789,0.8940601917386053,0.4091902310097032
DINO,S-GRID:NULLGEN,null_v3__flame_transition_2__s43,0.365,0.5,0.0345225044663059,0.282777151967067,0.0345225044663059,0.1967195197634814,0.5006199243892083,0.1993785216985275
