clip_id,stratum,group,owner,gap_over_anchor_norm,d_encLERP_to_LATLERP_med,d_encLERP_to_LATLERP_mid,latlerp_norm_min,enclerp_norm_min,main_norm_min,main_norm_med,cut_norm_min,dino_cos_AB,dino_chord_mid_norm,anchor_a_norm,anchor_b_norm
null_v3__flame_transition_3__s43,S-GRID,NULLGEN,GT__flame_transition_3,1.2550397077202853,0.2737040060805911,0.30332495918079067,0.7690525398168138,0.82735656275568,0.8941668025348909,1.081094393760437,0.8888479249534627,0.40714542042633184,0.8387924118714749,229.69323145442888,280.3967692203916
null_v3__giant_grab_5__s42,S-GRID,NULLGEN,GT__giant_grab_5,0.8668533265711256,0.3797094869209141,0.36344047601377183,0.8959074254088636,0.9423195662917079,0.9201717417646605,0.9620633902746792,0.9520587678776302,0.2070365686158766,0.7768643924829728,234.51338656265327,213.3011469625859
null_v3__giant_grab_5__s43,S-GRID,NULLGEN,GT__giant_grab_5,0.8668533265711256,0.3797094869209141,0.36344047601377183,0.8959074254088636,0.9423195662917079,0.9482199847777383,1.0092098168876178,0.9520587678776302,0.2022491436225664,0.7753222374027996,234.51338656265327,213.3011469625859
null_v3__shadow_smoke_7__s42,S-GRID,NULLGEN,GT__shadow_smoke_7,1.3626152742434714,0.3852290232330513,0.3880310852941011,0.7325921951014792,0.89995598988344,0.980202293367001,0.9947141619947172,0.9864808877753322,0.1322197459594463,0.7524027332351493,257.9777402772512,240.9175940976836
null_v3__shadow_smoke_7__s43,S-GRID,NULLGEN,GT__shadow_smoke_7,1.3626152742434714,0.3852290232330513,0.3880310852941011,0.7325921951014792,0.89995598988344,0.9814968626399678,0.9905914597949382,0.9864808877753322,0.12299996558999737,0.7493330252931594,257.9777402772512,240.9175940976836
null_v3__giant_grab_3__s42,S-GRID,NULLGEN,GT__giant_grab_3,0.9337317942175724,0.5326432202288662,0.5005446988897165,0.8791665501434347,0.9598161688828195,0.9507547178589533,0.9790298247548438,0.961947737991763,0.44092001933518077,0.8487991574380775,204.44461818450574,184.322988752015
null_v3__giant_grab_3__s43,S-GRID,NULLGEN,GT__giant_grab_3,0.9337317942175724,0.5326432202288662,0.5005446988897165,0.8791665501434347,0.9598161688828195,0.9628619312171133,1.0240525723229266,0.961947737991763,0.4228741797096518,0.8434673021847533,204.44461818450574,184.322988752015
null_v3__flying_cam_transition_4__s42,S-GRID,NULLGEN,GT__flying_cam_transition_4,1.340663013780343,0.5144626165661672,0.5095510807241165,0.7421043119256041,0.9018427502506924,0.9174711399222831,1.0051626085113392,0.992280201358279,0.06574510374980491,0.7299811996722261,214.22352001615187,210.87253354992916
null_v3__flying_cam_transition_4__s43,S-GRID,NULLGEN,GT__flying_cam_transition_4,1.340663013780343,0.5144626165661672,0.5095510807241165,0.7421043119256041,0.9018427502506924,0.9111588909453179,1.0068361119182272,0.992280201358279,0.06052133519517611,0.728189994161955,214.22352001615187,210.87253354992916
GT__air_bending_1,S-GRID,GT,GT__air_bending_1,1.3245920378851332,0.2778840340541877,0.2991815045207662,0.7494323622657708,0.8986104067834342,0.87621592360639,0.9219031082629412,0.9793133506920457,0.16423144625696295,0.7629650864413663,222.8972022667429,215.48996684368623
GT__display_transition_1,S-GRID,GT,GT__display_transition_1,1.3828867022586415,0.35850005529965945,0.35110363380364407,0.7067601256380079,0.835213632800831,0.8632529254234912,1.0027173415470718,0.8479457622811858,0.009863571689038508,0.710585523244401,235.4108532604055,176.30390413396032
GT__earth_wave_3,S-GRID,GT,GT__earth_wave_3,1.342522447207304,0.3571200407603362,0.36217168380514136,0.74175196797361,0.8753102482384153,0.7885310393479162,0.8621612663607362,0.9841743627932305,0.19071185478213692,0.7715931099945543,251.78643794667897,266.3287620105353
GT__earth_wave_5,S-GRID,GT,GT__earth_wave_5,1.4174067837123738,0.36326285350043075,0.36326285350043075,0.6982788743246591,0.8452507118862168,0.8049988663314197,0.8724628945012315,0.9057748474096785,0.2618157690212115,0.794297100907844,257.14911921274575,205.71696995755335
GT__firelava_4,S-GRID,GT,GT__firelava_4,1.397121647958441,0.41847537832992276,0.41847537832992276,0.7160804127416995,0.8799839099084819,0.8436039926683002,0.9714357212110567,1.0132022935775886,0.3249807591304261,0.8139351199974191,221.5465598337756,234.10116819779185
GT__flame_transition_2,S-GRID,GT,GT__flame_transition_2,1.2456482847020904,0.3338857321641533,0.35361393692036985,0.7788589510014396,0.8747123461685706,0.9246117210750775,0.9788378707416364,0.9309041937053955,0.4245485255435142,0.8439634250201588,233.23505448393135,207.22532574953647
GT__flame_transition_3,S-GRID,GT,GT__flame_transition_3,1.2550397077202853,0.2737040060805911,0.30332495918079067,0.7690525398168138,0.82735656275568,0.8367893979225396,0.9093337656123393,0.8888479249534627,0.3864995309099868,0.8326162173864939,229.69323145442888,280.3967692203916
GT__flying_cam_transition_4,S-GRID,GT,GT__flying_cam_transition_4,1.340663013780343,0.5144626165661672,0.5095510807241165,0.7421043119256041,0.9018427502506924,0.9454822265745766,0.989248269805451,0.992280201358279,0.06670263106093444,0.7303090548052018,214.22352001615187,210.87253354992916
GT__giant_grab_3,S-GRID,GT,GT__giant_grab_3,0.9337317942175724,0.5326432202288662,0.5005446988897165,0.8791665501434347,0.9598161688828195,0.9238546706164117,0.967508242724174,0.961947737991763,0.405650083358978,0.8383466118971848,204.44461818450574,184.322988752015
GT__giant_grab_5,S-GRID,GT,GT__giant_grab_5,0.8668533265711256,0.3797094869209141,0.36344047601377183,0.8959074254088636,0.9423195662917079,0.9480280901502046,0.9687995046439802,0.9520587678776302,0.20733148434555915,0.7769592924811309,234.51338656265327,213.3011469625859
GT__hero_flight_1,S-GRID,GT,GT__hero_flight_1,1.3719291086691792,0.5614505412280685,0.5614505412280685,0.727691274410798,0.9122755299654032,0.9183242911973156,0.9665532334861947,0.9884707906173015,0.005041489834866297,0.708886976123439,211.6885722907308,207.94249324542088
GT__hero_flight_5,S-GRID,GT,GT__hero_flight_5,1.4550451647362348,0.5263798837771291,0.5263798837771291,0.6860891044559088,0.9141026977440254,0.8996692914419178,1.0135549373721109,1.0132477875398773,0.020199821657570283,0.7142127910005429,203.66990141367637,204.74088771077143
GT__hero_flight_6,S-GRID,GT,GT__hero_flight_6,1.388812336105242,0.5596434176738075,0.5506374383194332,0.716734296101961,0.9033787830101269,0.9254290282312726,0.9419396559105289,0.984214829982127,0.5329079765192546,0.8754735794183781,238.55025659497105,210.53909232754143
GT__melt_transition_2,S-GRID,GT,GT__melt_transition_2,1.2930741673604522,0.3168038714513466,0.3365477508303254,0.76316367352084,0.8554819641407252,0.9458110633393971,0.9973517334267307,0.9801422387665059,0.07491603961420878,0.7331152841177876,216.1648871262639,207.3980081478816
GT__raven_transition_2,S-GRID,GT,GT__raven_transition_2,1.364211264105929,0.4758348776523132,0.4758348776523132,0.7305565049406557,0.8967549810807883,0.8949174290076365,0.9848513764825517,0.9867437878530794,0.17601994057349657,0.7668180816117656,185.89560127746682,202.76604734739445
GT__shadow_smoke_0,S-GRID,GT,GT__shadow_smoke_0,1.2275859483891904,0.4414129580059129,0.4414129580059129,0.7896917282316942,0.891771083973057,0.8221980794722946,0.9327485460141706,0.9869842597118264,0.0593905324261641,0.7278016668111458,221.71228415996978,230.23208331218484
GT__shadow_smoke_2,S-GRID,GT,GT__shadow_smoke_2,1.4427402461898953,0.37482726937779554,0.37482726937779554,0.6824861344113854,0.8752558912567074,0.8537109518000928,1.015242764227881,0.9139933036621872,0.017883784297964667,0.7134016345292337,192.29158261096424,248.03687245306386
GT__shadow_smoke_7,S-GRID,GT,GT__shadow_smoke_7,1.3626152742434714,0.3852290232330513,0.3880310852941011,0.7325921951014792,0.89995598988344,0.829305484259703,0.934303756060453,0.9864808877753322,0.1465673059442878,0.7571549728900576,257.9777402772512,240.9175940976836
GT__water_bending_3,S-GRID,GT,GT__water_bending_3,1.3049140149631315,0.356017386986508,0.3674237027930374,0.7562268113137687,0.864055345103255,0.7903710884024474,0.9354794108372584,0.9447075582812848,0.15144705787724888,0.7587644752745245,237.83440568749447,216.73297318669864
probe_r3__P01H__s42,S-PROBE,R3,probe_r3__P01H__s42,1.3387722882182234,0.28634272006075223,0.3055029478032055,0.7388216851512124,0.8428630639298216,0.9164153164131078,1.0835882235692906,0.9252404507181923,0.06658501955485008,0.7302687928272884,226.6146190778276,261.12754328021026
probe_r3__P01H__s43,S-PROBE,R3,probe_r3__P01H__s43,1.2956822800883963,0.3530586863806793,0.34945562860612744,0.7569757079537588,0.8517293161606799,0.9258803283364224,1.093309810703789,0.9203197547078793,0.050634122858582487,0.7247875974582424,227.1001064887482,264.1366858163135
probe_r3__P01H__s44,S-PROBE,R3,probe_r3__P01H__s44,1.3342535462704932,0.2706427915970533,0.2886216546779227,0.7387144645706682,0.8279449358876565,0.8859427100197094,1.112178404037748,0.9003144098205663,0.034362923397452505,0.7191532949926088,227.107008989909,275.2379085527851
probe_r3__P02H__s42,S-PROBE,R3,probe_r3__P02H__s42,1.4357952720789255,0.3658136536654873,0.3658136536654873,0.6905020299966154,0.8483437233715869,0.8954826915299543,1.0453877233222337,0.9103707762397466,0.17923158576377318,0.7678644365263224,215.34478083476205,261.85110502800353
probe_r3__P02H__s43,S-PROBE,R3,probe_r3__P02H__s43,1.4349972335940782,0.326682563376463,0.33961311366824826,0.6834522904310806,0.8193765110930699,0.8679980906089104,1.1433454920242134,0.8691319842978333,-0.00692530276501202,0.7046540630816613,215.79716588254345,285.48250449467804
probe_r3__P02H__s44,S-PROBE,R3,probe_r3__P02H__s44,1.4309865176836434,0.3795655969354866,0.3795655969354866,0.692506352628382,0.8413031408857139,0.8885225721591006,1.0714269976826472,0.9030996345629446,-0.004527486930498981,0.7055042569217783,215.61929491816397,266.03513447246024
probe_r3__P03H__s42,S-PROBE,R3,probe_r3__P03H__s42,1.370757040391371,0.37549957861316696,0.37112843271333784,0.7222498429237619,0.8466754555982999,0.8985445473941538,1.078118117102329,0.9034675121261764,0.26443525722243066,0.7951211408403221,241.15823551676615,292.2831601559676
