clip_id,group,cls,path,a_idx,b_idx,gini,offline,DR,gap_rel
base_cond|06_effect_v3__dai|815a381f46,GEN:base_cond:v3:effect:both,earth_wave_5,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__earth_wave_5__ref_flame_transition_3__s43.mp4,8,113,0.6680346830058337,0.5364759236034546,0.4073012316375283,0.9124001164374992
base_cond|06_effect_v3__dai|95e43ae6cb,GEN:base_cond:v3:effect:start,fire_element_2,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__fire_element_2__ref_color_rain_2__s42.mp4,8,120,0.6215744151652953,0.2792678460379573,0.206602412472962,0.6432188897772627
base_cond|06_effect_v3__dai|a10d3c58af,GEN:base_cond:v3:effect:start,fire_element_2,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__fire_element_2__ref_color_rain_2__s43.mp4,8,120,0.4164769130878034,0.3232418740858935,0.360949257805143,0.6951051038600489
base_cond|06_effect_v3__dai|b74c71d057,GEN:base_cond:v3:effect:start,illustration_scene_4,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__illustration_scene_4__ref_earth_element_6__s42.mp4,8,120,0.6501707613076901,0.4460328980635447,0.4890633479054342,0.5079954469817469
base_cond|06_effect_v3__dai|e4ef1e6671,GEN:base_cond:v3:effect:start,illustration_scene_4,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__illustration_scene_4__ref_earth_element_6__s43.mp4,8,120,0.5534729055424477,0.4856647245890687,0.5084635840354187,0.4726736127480287
base_cond|06_effect_v3__dai|fee407f5d7,GEN:base_cond:v3:effect:start,gas_transformation_6,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__gas_transformation_6__ref_wireframe_7__s42.mp4,8,120,0.8590119280531179,0.2530411498000373,0.2648238708208035,1.1554520381585514
base_cond|06_effect_v3__dai|5f9ab24573,GEN:base_cond:v3:effect:start,gas_transformation_6,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__gas_transformation_6__ref_wireframe_7__s43.mp4,8,120,0.8153242947846806,0.1688401484985366,0.1797992696273616,1.2353130782512998
base_cond|06_effect_v3__dai|3d2abe7d18,GEN:base_cond:v3:effect:both,firelava_4,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__firelava_4__ref_water_bending_3__s42.mp4,8,113,0.8174343997628046,0.3539752974509405,0.2201584827729849,0.9609864849436314
base_cond|06_effect_v3__dai|c39fcb8c04,GEN:base_cond:v3:effect:both,firelava_4,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__firelava_4__ref_water_bending_3__s43.mp4,8,113,0.7579013461193433,0.3794784183226928,0.2625424268129642,0.9587774268496772
base_cond|06_effect_v3__dai|91f17dea02,GEN:base_cond:v3:effect:start,live_concert_4,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__live_concert_4__ref_gas_transformation_7__s42.mp4,8,120,0.3397559654768958,0.3722545883830804,0.4020113678547064,1.1273829747627568
base_cond|06_effect_v3__dai|850a2a6c17,GEN:base_cond:v3:effect:start,live_concert_4,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__live_concert_4__ref_gas_transformation_7__s43.mp4,8,120,0.4947959359545226,0.40961392969632,0.5055897862425379,0.9920107032519484
base_cond|06_effect_v3__dai|36872f7d59,GEN:base_cond:v3:effect:start,gas_transformation_7,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__gas_transformation_7__ref_mystification_0__s42.mp4,8,120,0.3170627165066881,0.2108772499881014,0.2509668924756732,0.9916283594494234
base_cond|06_effect_v3__dai|4b0a8ae3dc,GEN:base_cond:v3:effect:start,gas_transformation_7,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__gas_transformation_7__ref_mystification_0__s43.mp4,8,120,0.4365849672330455,0.5228062046098596,0.6080199902221012,0.8077718036452142
base_cond|06_effect_v3__dai|1dd96d3e1a,GEN:base_cond:v3:effect:both,hero_flight_6,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__hero_flight_6__ref_giant_grab_3__s42.mp4,8,113,0.6558393525134711,0.3974454079997077,0.4405657661632496,0.7205889728255905
base_cond|06_effect_v3__dai|d900e41b7a,GEN:base_cond:v3:effect:both,hero_flight_6,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__hero_flight_6__ref_giant_grab_3__s43.mp4,8,113,0.6194481269134182,0.4491888343097801,0.4544633916827439,0.7170887748656574
base_cond|06_effect_v3__dai|4d60a328e7,GEN:base_cond:v3:effect:start,money_rain_1,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__money_rain_1__ref_water_element_4__s42.mp4,8,120,0.6074740623010417,0.1969634550318041,0.1671237550424866,0.9221219217256528
base_cond|06_effect_v3__dai|2f15678b62,GEN:base_cond:v3:effect:start,money_rain_1,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__money_rain_1__ref_water_element_4__s43.mp4,8,120,0.5844509689734354,0.1598291986867837,0.1579088294559807,0.8888224866333212
base_cond|06_effect_v3__dai|f7af347380,GEN:base_cond:v3:effect:start,super_fast_run_3,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__super_fast_run_3__ref_portal_4__s42.mp4,8,120,0.5837841129005121,0.1840013578417372,0.0868986761778357,1.1271248027636211
base_cond|06_effect_v3__dai|2370c78628,GEN:base_cond:v3:effect:start,super_fast_run_3,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__super_fast_run_3__ref_portal_4__s43.mp4,8,120,0.5319693415852138,0.2370774554410949,0.2441072247028762,0.9310300590986158
base_cond|06_effect_v3__dai|116cc79c05,GEN:base_cond:v3:effect:start,plasma_explosion_2,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__plasma_explosion_2__ref_illustration_scene_7__s42.mp4,8,120,0.5834500274958181,0.2510719506500831,0.2702670732690727,0.8948268150300389
base_cond|06_effect_v3__dai|4cd9f92594,GEN:base_cond:v3:effect:start,plasma_explosion_2,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__plasma_explosion_2__ref_illustration_scene_7__s43.mp4,8,120,0.7732990937133157,0.3003710318259742,0.3163286790952145,0.9574499705131572
base_cond|06_effect_v3__dai|2358aa0040,GEN:base_cond:v3:effect:both,water_bending_3,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__water_bending_3__ref_shadow_smoke_7__s42.mp4,8,113,0.7477937598006588,0.4066600229093824,0.3497338913709038,0.7052910844270188
base_cond|06_effect_v3__dai|f1e1635db0,GEN:base_cond:v3:effect:both,water_bending_3,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__water_bending_3__ref_shadow_smoke_7__s43.mp4,8,113,0.7849264931172164,0.3415017568323916,0.178958582200391,0.7041478482923491
base_cond|06_effect_v3__dai|38a5f3d1ae,GEN:base_cond:v3:effect:start,wireframe_7,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__wireframe_7__ref_shadow_3__s42.mp4,8,120,0.5143593466505445,0.2464656116134315,0.2672470550109986,0.7008786730001384
base_cond|06_effect_v3__dai|aec2921c20,GEN:base_cond:v3:effect:start,wireframe_7,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__wireframe_7__ref_shadow_3__s43.mp4,8,120,0.5498398108195777,0.2339270197246951,0.2672856625348639,0.6972001102651739
base_cond|06_effect_v3__dai|d7df811d82,GEN:base_cond:v3:effect:start,shadow_10,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__shadow_10__ref_polygon_8__s42.mp4,8,120,0.5750114601139336,0.2195452914530672,0.2742074926206899,0.6745581062547265
base_cond|06_effect_v3__dai|efc90fd158,GEN:base_cond:v3:effect:start,shadow_10,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__shadow_10__ref_polygon_8__s43.mp4,8,120,0.6329362555570892,0.2517164366963841,0.284568809671291,0.6640646151028757
base_cond|06_effect_v3__dai|8572c69ae6,GEN:base_cond:v3:effect:start,portal_1,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__portal_1__ref_money_rain_3__s42.mp4,8,120,0.5827766477448608,0.5830136422969594,0.6763489729624195,0.7445302154635923
base_cond|06_effect_v3__dai|5fa0e0e14c,GEN:base_cond:v3:effect:start,portal_1,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__portal_1__ref_money_rain_3__s43.mp4,8,120,0.4951919426208973,0.3664318966349849,0.381157757323591,0.7787803145326784
base_cond|06_effect_v3__dai|19c0f40cf1,GEN:base_cond:v3:effect:start,animalization_0,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-same__base_cond_effect_v3__animalization_0__ref_animalization_2__s42.mp4,8,120,0.3538261418668944,0.456831189043982,0.477990934928084,0.8394199221419562
base_cond|06_effect_v3__dai|a782474a86,GEN:base_cond:v3:effect:start,animalization_0,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-same__base_cond_effect_v3__animalization_0__ref_animalization_2__s43.mp4,8,120,0.6304834191354454,0.397331814550336,0.4111570215688098,0.7925404967733637
base_cond|06_effect_v3__dai|b3b299a5cc,GEN:base_cond:v3:effect:start,color_rain_0,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-same__base_cond_effect_v3__color_rain_0__ref_color_rain_2__s42.mp4,8,120,0.4573809914591114,0.2790765443939547,0.2796861220612427,0.4605513858424609
