recipe,clip,latent_frame,sqerr,frac_of_clip_total,is_conditioned,region
exp_032,shadow_smoke_0,10,64.71875762939453,0.11148190189678005,0,middle
exp_032,shadow_smoke_0,11,17.080184936523438,0.029421632479043926,0,middle
exp_032,shadow_smoke_0,12,0.0,0.0,1,end
exp_032,shadow_smoke_0,13,0.0,0.0,1,end
exp_032,shadow_smoke_0,14,0.0,0.0,1,end
exp_032,shadow_smoke_0,15,0.0,0.0,1,end
exp_032,shadow_smoke_1,0,0.0,0.0,1,start
exp_032,shadow_smoke_1,1,0.0,0.0,1,start
exp_032,shadow_smoke_1,2,0.0,0.0,1,start
exp_032,shadow_smoke_1,3,0.0,0.0,1,start
exp_032,shadow_smoke_1,4,85.88299560546875,0.010011228905887655,0,middle
exp_032,shadow_smoke_1,5,667.9110107421875,0.07785720526121293,0,middle
exp_032,shadow_smoke_1,6,1853.0806884765625,0.21601033851499066,0,middle
exp_032,shadow_smoke_1,7,2173.7490234375,0.2533900791904473,0,middle
exp_032,shadow_smoke_1,8,1980.37353515625,0.2308486405235348,0,middle
exp_032,shadow_smoke_1,9,1201.3321533203125,0.14003716444803127,0,middle
exp_032,shadow_smoke_1,10,530.2562255859375,0.06181103041048086,0,middle
exp_032,shadow_smoke_1,11,86.08102416992188,0.010034312745414537,0,middle
exp_032,shadow_smoke_1,12,0.0,0.0,1,end
exp_032,shadow_smoke_1,13,0.0,0.0,1,end
exp_032,shadow_smoke_1,14,0.0,0.0,1,end
exp_032,shadow_smoke_1,15,0.0,0.0,1,end
exp_032,shadow_smoke_2,0,0.0,0.0,1,start
exp_032,shadow_smoke_2,1,0.0,0.0,1,start
exp_032,shadow_smoke_2,2,0.0,0.0,1,start
exp_032,shadow_smoke_2,3,0.0,0.0,1,start
exp_032,shadow_smoke_2,4,3655.946044921875,0.016390762678865637,0,middle
exp_032,shadow_smoke_2,5,41804.3671875,0.18742220292398012,0,middle
exp_032,shadow_smoke_2,6,55929.7109375,0.25075058751139423,0,middle
exp_032,shadow_smoke_2,7,46165.75390625,0.20697567930995764,0,middle
exp_032,shadow_smoke_2,8,45019.6171875,0.20183718581915272,0,middle
exp_032,shadow_smoke_2,9,24143.8984375,0.1082447346238541,0,middle
exp_032,shadow_smoke_2,10,5647.8818359375,0.025321240979393537,0,middle
exp_032,shadow_smoke_2,11,681.9965209960938,0.0030576061534020407,0,middle
exp_032,shadow_smoke_2,12,0.0,0.0,1,end
exp_032,shadow_smoke_2,13,0.0,0.0,1,end
exp_032,shadow_smoke_2,14,0.0,0.0,1,end
exp_032,shadow_smoke_2,15,0.0,0.0,1,end
exp_032,shadow_smoke_3,0,0.0,0.0,1,start
exp_032,shadow_smoke_3,1,0.0,0.0,1,start
exp_032,shadow_smoke_3,2,0.0,0.0,1,start
exp_032,shadow_smoke_3,3,0.0,0.0,1,start
exp_032,shadow_smoke_3,4,43.50019073486328,0.05031259179138253,0,middle
exp_032,shadow_smoke_3,5,147.34669494628906,0.170422105958734,0,middle
exp_032,shadow_smoke_3,6,207.36495971679688,0.23983960515616978,0,middle
exp_032,shadow_smoke_3,7,211.42906188964844,0.24454017106558024,0,middle
exp_032,shadow_smoke_3,8,123.42964172363281,0.1427594930985135,0,middle
exp_032,shadow_smoke_3,9,89.62328338623047,0.10365884829100122,0,middle
exp_032,shadow_smoke_3,10,33.29207229614258,0.03850581836604633,0,middle
exp_032,shadow_smoke_3,11,8.612582206726074,0.009961366272572401,0,middle
exp_032,shadow_smoke_3,12,0.0,0.0,1,end
exp_032,shadow_smoke_3,13,0.0,0.0,1,end
exp_032,shadow_smoke_3,14,0.0,0.0,1,end
exp_032,shadow_smoke_3,15,0.0,0.0,1,end
exp_032,shadow_smoke_4,0,0.0,0.0,1,start
exp_032,shadow_smoke_4,1,0.0,0.0,1,start
exp_032,shadow_smoke_4,2,0.0,0.0,1,start
exp_032,shadow_smoke_4,3,0.0,0.0,1,start
exp_032,shadow_smoke_4,4,225.21693420410156,0.014557506045019233,0,middle
exp_032,shadow_smoke_4,5,1440.317138671875,0.09309879617648562,0,middle
exp_032,shadow_smoke_4,6,2308.782470703125,0.14923440323291234,0,middle
exp_032,shadow_smoke_4,7,5115.29931640625,0.330641214808396,0,middle
exp_032,shadow_smoke_4,8,4614.8310546875,0.2982920942990631,0,middle
exp_032,shadow_smoke_4,9,1452.755615234375,0.09390279077124965,0,middle
exp_032,shadow_smoke_4,10,285.2148742675781,0.018435635272953884,0,middle
exp_032,shadow_smoke_4,11,28.428598403930664,0.001837559393920157,0,middle
exp_032,shadow_smoke_4,12,0.0,0.0,1,end
exp_032,shadow_smoke_4,13,0.0,0.0,1,end
exp_032,shadow_smoke_4,14,0.0,0.0,1,end
exp_032,shadow_smoke_4,15,0.0,0.0,1,end
exp_032,shadow_smoke_5,0,0.0,0.0,1,start
exp_032,shadow_smoke_5,1,0.0,0.0,1,start
exp_032,shadow_smoke_5,2,0.0,0.0,1,start
exp_032,shadow_smoke_5,3,0.0,0.0,1,start
exp_032,shadow_smoke_5,4,1196.2965087890625,0.09555262714915393,0,middle
exp_032,shadow_smoke_5,5,3153.703369140625,0.2518979533556922,0,middle
exp_032,shadow_smoke_5,6,1702.01708984375,0.13594640057250562,0,middle
exp_032,shadow_smoke_5,7,2788.6767578125,0.22274192770862117,0,middle
exp_032,shadow_smoke_5,8,2570.7158203125,0.20533258141277752,0,middle
exp_032,shadow_smoke_5,9,801.005615234375,0.06397928133581515,0,middle
exp_032,shadow_smoke_5,10,257.7071838378906,0.020584026008607516,0,middle
exp_032,shadow_smoke_5,11,49.64340591430664,0.00396520245682691,0,middle
exp_032,shadow_smoke_5,12,0.0,0.0,1,end
exp_032,shadow_smoke_5,13,0.0,0.0,1,end
exp_032,shadow_smoke_5,14,0.0,0.0,1,end
exp_032,shadow_smoke_5,15,0.0,0.0,1,end
exp_032,shadow_smoke_6,0,0.0,0.0,1,start
exp_032,shadow_smoke_6,1,0.0,0.0,1,start
exp_032,shadow_smoke_6,2,0.0,0.0,1,start
exp_032,shadow_smoke_6,3,0.0,0.0,1,start
exp_032,shadow_smoke_6,4,23740.482421875,0.18510315609319639,0,middle
exp_032,shadow_smoke_6,5,45972.30859375,0.3584434074411458,0,middle
exp_032,shadow_smoke_6,6,32742.556640625,0.2552918034704899,0,middle
exp_032,shadow_smoke_6,7,17611.181640625,0.13731335557050492,0,middle
exp_032,shadow_smoke_6,8,6068.47314453125,0.04731553098872629,0,middle
exp_032,shadow_smoke_6,9,1637.96435546875,0.012771112497952264,0,middle
exp_032,shadow_smoke_6,10,419.2129211425781,0.003268578683432284,0,middle
exp_032,shadow_smoke_6,11,63.23700714111328,0.0004930552545521351,0,middle
exp_032,shadow_smoke_6,12,0.0,0.0,1,end
exp_032,shadow_smoke_6,13,0.0,0.0,1,end
exp_032,shadow_smoke_6,14,0.0,0.0,1,end
exp_032,shadow_smoke_6,15,0.0,0.0,1,end
exp_032,shadow_smoke_7,0,0.0,0.0,1,start
exp_032,shadow_smoke_7,1,0.0,0.0,1,start
exp_032,shadow_smoke_7,2,0.0,0.0,1,start
exp_032,shadow_smoke_7,3,0.0,0.0,1,start
exp_032,shadow_smoke_7,4,75.6631851196289,0.00881235186623848,0,middle
exp_032,shadow_smoke_7,5,523.4881591796875,0.060969702097620225,0,middle
exp_032,shadow_smoke_7,6,994.9482421875,0.11587978995318712,0,middle
exp_032,shadow_smoke_7,7,2072.9287109375,0.2414301904622093,0,middle
exp_032,shadow_smoke_7,8,3658.434326171875,0.4260911103699749,0,middle
exp_032,shadow_smoke_7,9,969.2700805664062,0.11288910174563353,0,middle
exp_032,shadow_smoke_7,10,256.68133544921875,0.02989520255984701,0,middle
exp_032,shadow_smoke_7,11,34.623634338378906,0.004032550945289475,0,middle
exp_032,shadow_smoke_7,12,0.0,0.0,1,end
exp_032,shadow_smoke_7,13,0.0,0.0,1,end
exp_032,shadow_smoke_7,14,0.0,0.0,1,end
exp_032,shadow_smoke_7,15,0.0,0.0,1,end
exp_032,shadow_smoke_8,0,0.0,0.0,1,start
exp_032,shadow_smoke_8,1,0.0,0.0,1,start
exp_032,shadow_smoke_8,2,0.0,0.0,1,start
exp_032,shadow_smoke_8,3,0.0,0.0,1,start
exp_032,shadow_smoke_8,4,31.42880630493164,0.015703046928517227,0,middle
exp_032,shadow_smoke_8,5,170.94029235839844,0.085408380033103,0,middle
exp_032,shadow_smoke_8,6,402.8173828125,0.20126314071733034,0,middle
exp_032,shadow_smoke_8,7,439.6966247558594,0.2196894360498973,0,middle
exp_032,shadow_smoke_8,8,352.67083740234375,0.1762079875486546,0,middle
exp_032,shadow_smoke_8,9,438.9879150390625,0.21933533727078422,0,middle
exp_032,shadow_smoke_8,10,149.99093627929688,0.0749412716599565,0,middle
exp_032,shadow_smoke_8,11,14.91357707977295,0.007451399791756834,0,middle
exp_032,shadow_smoke_8,12,0.0,0.0,1,end
exp_032,shadow_smoke_8,13,0.0,0.0,1,end
exp_032,shadow_smoke_8,14,0.0,0.0,1,end
exp_032,shadow_smoke_8,15,0.0,0.0,1,end
exp_032,shadow_smoke_9,0,0.0,0.0,1,start
exp_032,shadow_smoke_9,1,0.0,0.0,1,start
exp_032,shadow_smoke_9,2,0.0,0.0,1,start
exp_032,shadow_smoke_9,3,0.0,0.0,1,start
exp_032,shadow_smoke_9,4,90.20294952392578,0.01451243655646529,0,middle
exp_032,shadow_smoke_9,5,284.0156555175781,0.045694283873150755,0,middle
exp_032,shadow_smoke_9,6,953.0615234375,0.1533347298097633,0,middle
exp_032,shadow_smoke_9,7,1596.07080078125,0.25678623989807375,0,middle
exp_032,shadow_smoke_9,8,1623.7283935546875,0.2612359731113164,0,middle
exp_032,shadow_smoke_9,9,1121.6905517578125,0.1804648634472206,0,middle
exp_032,shadow_smoke_9,10,489.77398681640625,0.07879802099813664,0,middle
exp_032,shadow_smoke_9,11,57.01816177368164,0.009173452305873292,0,middle
exp_032,shadow_smoke_9,12,0.0,0.0,1,end
exp_032,shadow_smoke_9,13,0.0,0.0,1,end
exp_032,shadow_smoke_9,14,0.0,0.0,1,end
exp_032,shadow_smoke_9,15,0.0,0.0,1,end
exp_033,shadow_smoke_0,0,22544.552734375,0.1852526878782985,1,start
exp_033,shadow_smoke_0,1,18151.9375,0.14915777002515482,1,start
exp_033,shadow_smoke_0,2,22371.39453125,0.18382981544720467,1,start
exp_033,shadow_smoke_0,3,15265.9130859375,0.12544278280466023,1,start
exp_033,shadow_smoke_0,4,136.2750244140625,0.001119796647147176,0,middle
exp_033,shadow_smoke_0,5,214.49444580078125,0.0017625398510999703,0,middle
exp_033,shadow_smoke_0,6,213.3760223388672,0.0017533495622108137,0,middle
exp_033,shadow_smoke_0,7,416.3492126464844,0.003421217162635041,0,middle
exp_033,shadow_smoke_0,8,345.36309814453125,0.002837911356196382,0,middle
exp_033,shadow_smoke_0,9,251.5754852294922,0.0020672414925308846,0,middle
exp_033,shadow_smoke_0,10,91.6748275756836,0.0007533087224782223,0,middle
exp_033,shadow_smoke_0,11,39.03120803833008,0.0003207265313901181,0,middle
exp_033,shadow_smoke_0,12,8.361764907836914,6.871014221636387e-05,0,end
exp_033,shadow_smoke_0,13,10306.060546875,0.08468677290873786,1,end
exp_033,shadow_smoke_0,14,11883.94140625,0.0976525067511858,1,end
exp_033,shadow_smoke_0,15,19455.923828125,0.15987286271685316,1,end
exp_033,shadow_smoke_1,0,25834.25390625,0.05277456950617481,1,start
exp_033,shadow_smoke_1,1,20661.044921875,0.04220666698007101,1,start
exp_033,shadow_smoke_1,2,18115.92578125,0.03700746256426572,1,start
exp_033,shadow_smoke_1,3,13265.7099609375,0.027099374919934516,1,start
exp_033,shadow_smoke_1,4,49894.62109375,0.10192541880450169,0,middle
exp_033,shadow_smoke_1,5,70072.4765625,0.1431450197182898,0,middle
exp_033,shadow_smoke_1,6,86610.3125,0.17692873862623787,0,middle
exp_033,shadow_smoke_1,7,57588.09765625,0.11764175863243673,0,middle
exp_033,shadow_smoke_1,8,39983.75390625,0.08167936288389126,0,middle
exp_033,shadow_smoke_1,9,26717.26171875,0.054578390020766976,0,middle
exp_033,shadow_smoke_1,10,19060.015625,0.03893606229313207,0,middle
exp_033,shadow_smoke_1,11,13507.5078125,0.027593322899622127,0,middle
exp_033,shadow_smoke_1,12,4104.9560546875,0.00838566073609303,0,end
exp_033,shadow_smoke_1,13,16783.341796875,0.03428524165703836,1,end
exp_033,shadow_smoke_1,14,13693.1591796875,0.027972574068133044,1,end
exp_033,shadow_smoke_1,15,13628.4453125,0.027840375689410994,1,end
exp_033,shadow_smoke_2,0,16656.1015625,0.18264763823475644,1,start
exp_033,shadow_smoke_2,1,12395.193359375,0.13592333020171452,1,start
exp_033,shadow_smoke_2,2,13673.986328125,0.1499463304011887,1,start
exp_033,shadow_smoke_2,3,12849.79296875,0.1409083829575002,1,start
exp_033,shadow_smoke_2,4,208.06088256835938,0.002281556021230574,0,middle
exp_033,shadow_smoke_2,5,1009.988037109375,0.01107533650243284,0,middle
exp_033,shadow_smoke_2,6,2639.160888671875,0.02894053578075731,0,middle
exp_033,shadow_smoke_2,7,4460.11083984375,0.04890872621699031,0,middle
exp_033,shadow_smoke_2,8,4058.185302734375,0.044501287307963586,0,middle
exp_033,shadow_smoke_2,9,2924.9814453125,0.03207478958159196,0,middle
exp_033,shadow_smoke_2,10,1518.042724609375,0.0166465674665195,0,middle
exp_033,shadow_smoke_2,11,623.647705078125,0.006838801984703343,0,middle
exp_033,shadow_smoke_2,12,50.366310119628906,0.0005523073664885101,0,end
exp_033,shadow_smoke_2,13,9225.66796875,0.1011669182796045,1,end
exp_033,shadow_smoke_2,14,4564.11767578125,0.05004924537586862,1,end
exp_033,shadow_smoke_2,15,4335.13330078125,0.047538246320689086,1,end
exp_033,shadow_smoke_3,0,20236.439453125,0.19548687479511248,1,start
exp_033,shadow_smoke_3,1,12857.0341796875,0.124200773399044,1,start
exp_033,shadow_smoke_3,2,9200.6875,0.08887994597605493,1,start
exp_033,shadow_smoke_3,3,5033.900390625,0.04862819161802765,1,start
exp_033,shadow_smoke_3,4,386.79901123046875,0.003736533299468711,0,middle
exp_033,shadow_smoke_3,5,3421.5595703125,0.033052750651864735,0,middle
exp_033,shadow_smoke_3,6,3547.423583984375,0.03426861487239018,0,middle
exp_033,shadow_smoke_3,7,889.3239135742188,0.008590995117885518,0,middle
exp_033,shadow_smoke_3,8,303.2690124511719,0.0029296216660843755,0,middle
exp_033,shadow_smoke_3,9,199.89468383789062,0.0019310109924298917,0,middle
exp_033,shadow_smoke_3,10,130.7054443359375,0.0012626331272912355,0,middle
exp_033,shadow_smoke_3,11,26.221847534179688,0.00025330676563357246,0,middle
exp_033,shadow_smoke_3,12,6.878795623779297,6.645014119019116e-05,0,end
